study_hours,attendance_percentage,assignment_score,previous_exam_score,sleep_hours,class_participation,final_exam_score
23,84,77.4,73,7,79.8,67
19,64,61.0,59,8,60.8,61
24,98,93.8,91,7,93.1,74
29,89,94.4,98,8,84.6,71
19,92,75.8,65,6,87.4,70
19,88,88.6,89,8,83.6,71
29,84,74.4,68,7,79.8,67
25,78,61.2,50,6,74.1,66
17,94,85.6,80,6,89.3,69
23,98,81.8,71,8,93.1,72
17,80,84.8,88,8,76.0,68
17,97,91.0,87,6,92.1,71
21,83,91.4,97,8,78.8,70
9,82,76.0,72,8,77.9,66
10,78,75.6,74,8,74.1,65
17,68,69.2,70,8,64.6,64
14,60,63.0,65,10,57.0,60
22,70,77.2,82,6,66.5,65
15,80,86.6,91,9,76.0,67
12,75,64.8,58,7,71.2,66
29,78,90.6,99,5,74.1,69
19,99,90.0,84,6,94.0,72
20,74,83.0,89,8,70.3,66
11,78,91.2,100,8,74.1,66
17,65,71.0,75,5,61.8,63
21,62,57.2,54,6,58.9,64
13,91,90.4,90,6,86.4,65
22,83,89.6,94,6,78.8,71
16,90,70.8,58,4,85.5,66
18,66,57.0,51,4,62.7,64
16,83,67.4,57,6,78.8,63
31,70,67.6,66,7,66.5,69
20,69,85.2,96,8,65.6,67
14,60,54.0,50,5,57.0,61
25,65,80.0,90,5,61.8,68
13,72,84.6,93,6,68.4,61
21,65,80.6,91,7,61.8,64
8,99,72.0,54,9,94.0,67
12,72,79.2,84,8,68.4,63
21,65,84.8,98,6,61.8,64
24,68,60.8,56,8,64.6,67
21,84,64.8,52,6,79.8,65
19,63,81.6,94,7,59.8,64
18,94,86.8,82,7,89.3,70
11,98,88.4,82,9,93.1,68
16,70,86.8,98,8,66.5,65
17,78,84.0,88,6,74.1,68
26,61,66.4,70,6,58.0,64
22,86,77.6,72,7,81.7,68
9,77,65.0,57,5,73.1,63
22,71,67.4,65,7,67.4,64
18,68,70.4,72,7,64.6,64
16,86,72.2,63,8,81.7,67
24,77,88.4,96,8,73.1,67
26,67,57.4,51,7,63.6,66
26,88,82.6,79,5,83.6,72
15,83,86.6,89,5,78.8,65
18,94,89.8,87,6,89.3,71
22,65,75.2,82,8,61.8,66
26,91,79.0,71,8,86.4,68
17,87,92.4,96,7,82.6,70
19,65,65.6,66,10,61.8,62
13,88,88.0,88,9,83.6,68
13,78,88.8,96,9,74.1,67
25,98,72.8,56,8,93.1,71
28,66,84.6,97,8,62.7,68
20,86,87.8,89,8,81.7,69
26,75,78.6,81,4,71.2,70
22,98,80.6,69,5,93.1,69
16,73,86.2,95,7,69.4,65
22,98,70.4,52,7,93.1,70
29,96,81.6,72,7,91.2,71
20,71,81.2,88,7,67.4,65
29,92,91.4,91,4,87.4,72
4,100,76.0,60,8,95.0,69
25,70,59.2,52,7,66.5,66
21,77,84.8,90,7,73.1,68
18,81,75.0,71,8,77.0,65
21,72,63.0,57,5,68.4,64
8,61,56.8,54,7,58.0,60
19,69,76.8,82,7,65.6,65
22,71,75.8,79,6,67.4,66
29,78,87.0,93,4,74.1,74
17,67,58.0,52,5,63.6,62
15,95,93.8,93,7,90.2,70
17,88,91.6,94,7,83.6,69
25,63,68.4,72,7,59.8,67
22,86,66.8,54,6,81.7,64
17,86,92.6,97,5,81.7,71
23,98,71.6,54,7,93.1,68
21,60,72.0,80,7,57.0,64
26,70,73.0,75,8,66.5,63
16,97,94.0,92,6,92.1,71
18,97,83.8,75,4,92.1,69
18,89,79.4,73,4,84.6,100
11,91,92.8,94,6,86.4,68
22,64,84.4,98,7,60.8,62
22,81,78.6,77,7,77.0,68
20,69,71.4,73,6,65.6,66
19,67,82.0,92,5,63.6,64
12,92,92.0,92,4,87.4,67
17,65,65.6,66,8,61.8,65
18,79,79.0,79,7,75.0,65
15,98,74.0,58,6,93.1,69
19,67,76.0,82,5,63.6,63
22,99,94.8,92,6,94.0,72
31,100,75.4,59,7,95.0,76
21,82,72.4,66,7,77.9,69
22,67,70.0,72,7,63.6,67
20,73,84.4,92,9,69.4,69
8,77,83.0,87,6,73.1,63
20,72,68.4,66,9,68.4,67
20,71,65.6,62,7,67.4,66
35,99,90.6,85,7,94.0,79
19,66,70.8,74,8,62.7,64
22,89,83.6,80,6,84.6,73
20,60,73.2,82,7,57.0,63
13,84,80.4,78,5,79.8,65
27,97,87.4,81,8,92.1,73
25,72,85.2,94,8,68.4,70
25,67,82.6,93,9,63.6,68
15,86,68.6,57,7,81.7,65
28,89,83.0,79,9,84.6,71
12,88,78.4,72,6,83.6,64
24,73,67.6,64,8,69.4,68
33,70,77.2,82,6,66.5,69
14,98,84.8,76,7,93.1,69
17,97,92.2,89,8,92.1,69
21,78,64.2,55,10,74.1,67
17,94,76.6,65,8,89.3,68
11,78,61.8,51,8,74.1,64
20,77,83.0,87,6,73.1,66
14,66,84.0,96,7,62.7,63
23,77,78.2,79,7,73.1,66
14,81,81.0,81,9,77.0,66
29,61,55.6,52,7,58.0,67
15,78,76.2,75,9,74.1,65
18,91,82.0,76,5,86.4,68
25,87,66.0,52,9,82.6,68
13,85,87.4,89,6,80.8,65
21,96,76.8,64,8,91.2,71
28,61,76.0,86,6,58.0,65
10,82,74.8,70,8,77.9,64
21,91,96.4,100,6,86.4,72
22,82,69.4,61,9,77.9,65
25,73,61.0,53,8,69.4,66
13,65,85.4,99,6,61.8,61
12,96,75.6,62,8,91.2,68
23,79,80.8,82,8,75.0,69
22,95,79.4,69,6,90.2,72
22,83,82.4,82,5,78.8,71
22,87,82.8,80,5,82.6,70
16,92,87.8,85,5,87.4,68
21,86,65.0,51,5,81.7,67
22,76,85.6,92,8,72.2,68
16,81,76.8,74,8,77.0,68
31,92,82.4,76,4,87.4,72
23,75,72.6,71,6,71.2,65
13,76,89.8,99,5,72.2,66
24,64,79.6,90,8,60.8,65
14,97,78.4,66,6,92.1,67
25,64,79.0,89,5,60.8,66
27,86,77.6,72,7,81.7,69
15,77,87.2,94,8,73.1,66
26,76,61.6,52,6,72.2,69
22,87,75.6,68,7,82.6,67
25,63,67.8,71,6,59.8,66
31,84,85.8,87,9,79.8,71
19,91,71.8,59,6,86.4,70
15,93,75.6,64,6,88.4,71
15,67,78.4,86,7,63.6,66
15,96,70.8,54,7,91.2,67
20,86,70.4,60,8,81.7,66
22,95,90.8,88,9,90.2,72
22,79,88.0,94,9,75.0,68
25,82,84.4,86,6,77.9,69
20,97,84.4,76,7,92.1,71
29,96,71.4,55,9,91.2,70
18,78,85.8,91,9,74.1,67
36,71,62.0,56,6,67.4,69
24,76,71.8,69,8,72.2,65
15,76,62.2,53,8,72.2,65
14,71,79.4,85,8,67.4,64
23,71,73.4,75,9,67.4,63
19,94,94.6,95,5,89.3,69
24,63,59.4,57,6,59.8,64
23,87,89.4,91,8,82.6,72
20,67,72.4,76,7,63.6,63
15,74,70.4,68,4,70.3,64
11,62,74.0,82,5,58.9,64
17,71,82.4,90,8,67.4,67
25,91,79.6,72,8,86.4,71
21,95,75.2,62,5,90.2,70
13,69,85.2,96,9,65.6,61
21,79,71.2,66,7,75.0,67
22,79,91.6,100,5,75.0,72
15,95,90.8,88,6,90.2,66
