study_hours,attendance_percentage,assignment_score,previous_exam_score,sleep_hours,class_participation,final_exam_score
5.1,82.1,46.2,50.1,8.2,43.0,57.3
11.5,54.2,94.2,56.7,4.9,67.9,71.2
9.1,58.1,70.3,50.6,7.5,91.1,61.2
7.6,94.9,89.6,45.3,7.6,81.3,75.0
2.7,80.3,59.2,47.2,6.5,86.5,46.8
2.7,50.5,93.7,67.6,8.4,76.1,50.5
1.6,55.1,63.4,52.4,9.6,78.5,47.7
10.5,83.2,40.7,61.9,9.6,89.4,66.6
7.6,50.3,94.3,70.2,6.7,47.5,62.7
8.8,58.0,45.5,81.4,4.7,64.3,65.1
1.2,77.4,59.2,42.4,9.9,45.5,45.8
11.7,84.6,97.0,88.0,9.0,99.1,87.2
10.2,82.6,97.0,77.7,4.7,96.1,77.8
3.3,61.2,74.4,44.9,9.5,32.8,51.7
3.0,85.6,77.9,92.4,9.2,79.4,70.0
3.0,61.9,66.9,95.3,7.1,94.8,61.8
4.3,66.3,57.6,43.7,7.5,42.6,53.9
6.8,87.3,59.7,56.6,6.4,69.8,59.0
5.8,82.5,80.4,88.4,4.3,94.1,67.4
4.2,92.5,85.1,84.9,6.0,32.4,66.2
7.7,82.9,87.5,51.1,8.8,78.8,68.3
2.5,78.4,87.4,52.6,4.0,50.8,55.6
4.2,54.7,45.5,62.2,6.0,94.7,49.5
5.0,68.4,69.7,69.1,6.4,98.0,62.5
6.0,63.3,43.5,77.1,7.2,96.1,55.5
9.6,62.2,73.0,62.1,9.5,63.2,71.7
3.2,98.7,66.5,67.8,6.1,90.3,62.1
6.7,69.7,93.3,84.8,6.1,89.1,76.4
7.5,94.6,61.1,42.2,8.4,52.3,62.5
1.5,81.6,47.0,55.1,6.7,88.0,50.0
7.7,89.7,48.6,82.8,5.3,32.6,68.4
2.9,75.1,85.7,93.7,6.7,71.7,68.0
1.7,78.8,77.1,70.7,4.8,46.1,57.7
11.4,74.6,46.1,71.9,5.1,38.4,72.2
11.6,59.8,45.0,46.4,7.0,35.4,59.9
9.9,86.1,82.1,66.8,6.5,78.7,77.8
4.4,64.0,44.4,72.0,9.5,53.8,53.2
2.1,51.2,89.3,54.5,6.2,80.7,55.8
8.5,82.3,82.4,56.2,7.5,34.6,65.6
5.8,58.9,44.9,62.6,7.8,52.1,58.0
2.3,97.0,45.1,41.2,4.1,67.8,47.7
6.4,97.7,99.2,59.3,8.0,85.4,69.1
1.4,95.7,62.5,52.7,5.1,52.3,51.8
11.0,68.5,62.2,59.6,9.8,73.8,67.2
3.8,50.8,88.8,47.2,4.9,92.0,55.7
8.3,96.4,96.8,93.4,6.5,73.1,81.9
4.4,71.4,99.2,75.6,4.5,46.3,64.0
6.7,98.3,85.2,80.7,10.0,31.7,68.7
7.0,98.2,62.6,87.4,7.0,90.9,73.0
3.0,92.7,45.0,69.9,7.6,31.5,47.3
11.7,64.7,86.6,45.2,4.4,91.2,65.8
9.5,69.3,73.5,72.2,8.5,67.0,73.4
11.3,92.6,65.5,75.2,5.3,95.7,81.5
10.8,65.8,94.4,84.7,9.4,85.9,82.8
7.6,58.5,46.7,65.9,5.2,99.9,56.1
11.1,77.8,69.6,47.7,5.1,54.5,67.5
2.0,96.8,40.7,57.0,4.2,83.7,50.9
3.2,84.8,68.1,61.8,6.8,58.1,53.5
1.5,78.5,43.4,78.8,7.4,63.6,56.6
4.6,54.9,47.1,74.2,4.4,73.9,55.5
5.3,80.8,47.1,61.4,8.7,91.2,57.5
4.0,99.5,79.0,99.2,6.7,98.9,75.2
10.1,57.0,84.8,76.3,7.1,83.8,74.3
4.9,75.9,75.0,54.2,6.6,59.2,52.1
4.1,93.9,97.7,46.1,6.4,59.5,61.9
7.0,87.0,62.5,49.2,7.4,81.6,60.0
2.6,84.9,57.1,54.8,4.9,46.7,47.8
9.8,85.1,92.1,49.6,5.1,37.7,69.8
1.8,68.0,53.4,51.2,9.2,54.8,51.1
11.9,64.7,97.8,57.1,9.7,50.1,77.3
9.5,90.5,40.7,50.4,6.2,50.7,60.2
3.2,90.5,98.2,93.8,5.6,46.4,73.0
1.1,93.4,42.6,44.8,7.9,32.9,48.3
10.0,95.7,93.5,71.5,6.5,31.3,81.6
8.8,75.6,71.7,64.6,4.2,99.1,69.3
9.0,75.1,99.6,98.9,4.9,59.9,80.0
9.5,89.9,44.4,46.7,8.3,56.9,64.5
1.8,82.5,73.2,63.9,8.0,77.6,57.8
4.9,85.1,98.2,98.2,4.2,45.3,77.1
2.3,89.8,71.4,91.9,5.3,96.5,67.8
10.5,94.5,77.8,89.0,5.4,85.0,86.4
7.9,66.9,81.7,55.5,8.0,36.3,61.5
4.6,68.8,67.3,50.3,4.1,59.2,57.0
1.7,54.7,77.7,80.1,4.6,91.5,56.2
4.4,78.9,75.1,95.8,8.8,96.1,76.8
4.6,51.8,94.1,73.4,5.1,62.7,59.0
9.0,73.3,42.7,74.3,7.9,72.9,70.7
8.0,77.1,56.9,56.8,5.4,41.7,61.1
10.8,64.3,97.0,86.2,4.6,99.4,79.5
6.2,79.5,93.4,51.2,5.5,46.2,62.0
2.3,51.5,67.3,59.4,8.3,96.0,49.2
8.8,51.9,77.2,65.5,9.1,75.5,67.2
9.4,91.1,56.6,70.5,9.0,72.5,73.3
7.2,68.0,51.3,54.5,6.4,65.9,55.0
9.5,56.4,67.8,46.9,8.0,46.1,59.8
6.4,76.1,61.2,76.6,5.2,42.4,69.3
6.8,88.5,75.0,57.3,5.8,45.4,69.4
5.7,60.8,44.7,74.9,9.4,43.1,57.0
1.3,81.1,98.5,49.3,4.1,84.6,56.2
2.2,54.3,99.2,68.9,4.5,54.5,56.5
1.3,52.6,81.9,72.0,5.2,34.0,52.4
8.0,76.6,72.2,43.1,4.2,97.8,59.4
4.5,77.0,58.6,60.2,5.1,91.9,56.2
6.6,81.9,88.8,48.1,7.5,94.9,61.0
11.0,86.3,81.1,43.8,6.5,99.6,74.2
3.7,98.8,49.8,99.4,9.4,42.2,68.4
5.5,75.8,94.7,59.3,8.9,57.7,63.6
9.3,66.1,89.4,88.6,6.1,83.1,82.3
3.5,89.8,97.0,55.3,5.6,78.7,59.9
1.8,63.5,83.5,80.9,6.3,40.8,52.5
4.2,71.9,76.8,85.6,7.5,87.1,66.4
2.8,53.9,65.1,75.7,5.6,45.7,55.1
11.2,51.3,96.0,68.3,7.7,45.7,78.2
9.9,98.1,92.0,64.7,6.5,67.6,77.6
8.0,91.8,42.7,60.9,7.3,71.5,66.7
10.6,84.8,41.6,95.8,6.6,70.6,75.5
9.8,70.4,62.6,89.8,5.8,36.4,71.5
3.1,58.7,88.6,97.9,9.7,91.4,69.7
10.8,57.8,99.2,47.5,8.6,48.6,71.4
6.9,62.5,49.0,83.9,4.8,39.1,55.6
9.9,77.5,75.6,96.3,9.2,92.2,85.8
10.9,85.7,62.9,50.9,6.9,96.9,74.9
4.5,83.0,98.2,44.0,9.4,90.3,61.2
2.2,64.0,90.5,84.5,8.8,86.7,64.2
3.5,97.7,90.3,74.5,6.6,75.9,70.2
5.7,86.9,68.1,90.5,4.1,68.6,70.3
10.0,77.7,64.9,48.4,5.6,36.1,62.2
10.5,80.6,56.4,87.7,7.2,58.6,73.0
1.1,71.0,43.4,52.1,7.8,56.1,42.7
6.6,62.4,91.9,49.8,5.5,48.2,63.9
5.6,67.8,88.8,49.9,4.8,80.6,61.8
3.4,87.9,100.0,88.9,9.0,64.7,71.1
2.3,50.7,99.8,79.9,9.9,35.7,61.3
